firstname;lastname;role_id;title;compensation;transport;process_date;payment_date;year;month
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/02/2019;03/02/2019;2019;1
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/02/2019;03/02/2019;2019;1
Paul;Johnson;2;Data Engineer;160.00;Car;01/02/2019;03/02/2019;2019;1
Martin;Bakker;4;Software Engineer;64.00;Bike;01/02/2019;03/02/2019;2019;1
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/02/2019;03/02/2019;2019;1
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/02/2019;03/02/2019;2019;1
Amout;van den Berg;2;Data Engineer;300.00;Train;01/02/2019;03/02/2019;2019;1
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/03/2019;03/03/2019;2019;2
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/03/2019;03/03/2019;2019;2
Paul;Johnson;2;Data Engineer;160.00;Car;01/03/2019;03/03/2019;2019;2
Martin;Bakker;4;Software Engineer;256.00;Bike;01/03/2019;03/03/2019;2019;2
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/03/2019;03/03/2019;2019;2
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/03/2019;03/03/2019;2019;2
Amout;van den Berg;2;Data Engineer;300.00;Train;01/03/2019;03/03/2019;2019;2
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/04/2019;03/04/2019;2019;3
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/04/2019;03/04/2019;2019;3
Paul;Johnson;2;Data Engineer;160.00;Car;01/04/2019;03/04/2019;2019;3
Martin;Bakker;4;Software Engineer;256.00;Bike;01/04/2019;03/04/2019;2019;3
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/04/2019;03/04/2019;2019;3
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/04/2019;03/04/2019;2019;3
Amout;van den Berg;2;Data Engineer;300.00;Train;01/04/2019;03/04/2019;2019;3
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/05/2019;03/05/2019;2019;4
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/05/2019;03/05/2019;2019;4
Paul;Johnson;2;Data Engineer;160.00;Car;01/05/2019;03/05/2019;2019;4
Martin;Bakker;4;Software Engineer;256.00;Bike;01/05/2019;03/05/2019;2019;4
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/05/2019;03/05/2019;2019;4
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/05/2019;03/05/2019;2019;4
Amout;van den Berg;2;Data Engineer;300.00;Train;01/05/2019;03/05/2019;2019;4
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/06/2019;03/06/2019;2019;5
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/06/2019;03/06/2019;2019;5
Paul;Johnson;2;Data Engineer;160.00;Car;01/06/2019;03/06/2019;2019;5
Martin;Bakker;4;Software Engineer;256.00;Bike;01/06/2019;03/06/2019;2019;5
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/06/2019;03/06/2019;2019;5
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/06/2019;03/06/2019;2019;5
Amout;van den Berg;2;Data Engineer;300.00;Train;01/06/2019;03/06/2019;2019;5
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/07/2019;03/07/2019;2019;6
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/07/2019;03/07/2019;2019;6
Paul;Johnson;2;Data Engineer;160.00;Car;01/07/2019;03/07/2019;2019;6
Martin;Bakker;4;Software Engineer;256.00;Bike;01/07/2019;03/07/2019;2019;6
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/07/2019;03/07/2019;2019;6
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/07/2019;03/07/2019;2019;6
Amout;van den Berg;2;Data Engineer;300.00;Train;01/07/2019;03/07/2019;2019;6
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/08/2019;03/08/2019;2019;7
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/08/2019;03/08/2019;2019;7
